Week_Date,Carrier_Name,Forecasted_Passengers,Lower_Bound_95,Upper_Bound_95,Year,Month
2026-01-04,Academy,1518.221071077063,1195.4217163166782,1841.0204258374479,2026,1
2026-01-11,Academy,1613.373112211743,1288.9260479896348,1937.8201764338514,2026,1
2026-01-18,Academy,1570.7799078672429,1244.6934599259507,1896.866355808535,2026,1
2026-01-25,Academy,1538.862325252687,1211.1446943879544,1866.5799561174197,2026,1
2026-02-01,Academy,1577.5202366809401,1248.1795018359817,1906.8609715258985,2026,2
2026-02-08,Academy,1662.3246487508627,1331.368770004403,1993.2805274973225,2026,2
2026-02-15,Academy,1686.7193205247945,1354.1561419775214,2019.2824990720676,2026,2
2026-02-22,Academy,1625.2840518409923,1291.1213044048222,1959.4467992771624,2026,2
2026-03-01,Academy,1468.802257411483,1133.0475615058058,1804.5569533171602,2026,3
2026-03-08,Academy,1612.6858005873753,1275.3466687462296,1950.024932428521,2026,3
2026-03-15,Academy,1536.1700669680959,1197.253906362022,1875.0862275741697,2026,3
2026-03-22,Academy,1656.231411822266,1315.7455266983948,1996.7172969461371,2026,3
2026-03-29,Academy,1545.6424883631541,1203.594082406906,1887.6908943194023,2026,3
2026-04-05,Academy,1625.2346322167625,1281.630810838369,1968.8384535951561,2026,4
2026-04-12,Academy,1477.35479327674,1132.2025658256318,1822.5070207278484,2026,4
2026-04-19,Academy,1564.1602624718955,1217.4665443818549,1910.8539805619362,2026,4
2026-04-26,Academy,1507.0348024661926,1158.8064173340072,1855.263187598378,2026,4
2026-05-03,Academy,1528.7048592990282,1178.9485408991866,1878.4611776988697,2026,5
2026-05-10,Academy,1606.2391552607592,1254.9615494982995,1957.5167610232188,2026,5
2026-05-17,Academy,1684.5538433678948,1331.7615101700783,2037.3461765657114,2026,5
2026-05-24,Academy,1695.6992041336227,1341.3986192750983,2049.999788992147,2026,5
2026-05-31,Academy,1720.074592265879,1364.2721490957292,2075.8770354360286,2026,5
2026-06-07,Academy,1764.741190447571,1407.443201370265,2122.039179524877,2026,6
2026-06-14,Academy,1679.1795447406396,1320.3922417862211,2037.966847695058,2026,6
2026-06-21,Academy,1764.4703736368372,1404.199905160133,2124.7408421135415,2026,6
2026-06-28,Academy,1756.026458032708,1394.2788683821873,2117.7740476832287,2026,6
2026-07-05,Academy,1827.4144926592637,1464.1956263674524,2190.633358951075,2026,7
2026-07-12,Academy,1638.505484551975,1273.8205561087534,2003.1904129951968,2026,7
2026-07-19,Academy,1591.7838810637752,1225.6355764068198,1957.9321857207306,2026,7
2026-07-26,Academy,1774.0025524328387,1406.3829670120108,2141.6221378536666,2026,7
2026-08-02,Academy,1769.9802907509759,1400.842793317654,2139.1177881842978,2026,8
2026-08-09,Academy,1750.673434465843,1337.082730997583,2164.264137934103,2026,8
2026-08-16,Academy,1692.5645546601074,1277.2719700597531,2107.8571392604617,2026,8
2026-08-23,Academy,1559.8465161852118,1141.055077634764,1978.6379547356596,2026,8
2026-08-30,Academy,1487.7444942500015,1066.0361670051516,1909.4528214948514,2026,8
2026-09-06,Academy,1474.54073997448,1050.0491783744276,1899.0323015745323,2026,9
2026-09-13,Academy,1657.054618393804,1229.8220350157085,2084.2872017718996,2026,9
2026-09-20,Academy,1639.4188597498694,1209.467869688456,2069.3698498112826,2026,9
2026-09-27,Academy,1631.597620488618,1198.9464030426273,2064.2488379346087,2026,9
2026-10-04,Academy,1728.6576540250067,1293.3231927703825,2163.9921152796305,2026,10
2026-10-11,Academy,1608.2017678496502,1170.200550719741,2046.2029849795595,2026,10
2026-10-18,Academy,1711.5517045700196,1270.8998808548345,2152.203528285205,2026,10
2026-10-25,Academy,1570.3853736367328,1127.098794516512,2013.6719527569535,2026,10
2026-11-01,Academy,1591.9992681943218,1146.0935020618922,2037.9050343267513,2026,11
2026-11-08,Academy,1752.790809740963,1304.2811518553244,2201.3004676266014,2026,11
2026-11-15,Academy,1789.8661203830698,1338.7676010520709,2240.9646397140687,2026,11
2026-11-22,Academy,1800.4662133862496,1346.793605590612,2254.138821181887,2026,11
2026-11-29,Academy,1767.2383992404473,1311.0062259069498,2223.470572573945,2026,11
2026-12-06,Academy,1729.5782138653715,1270.800754845303,2188.35567288544,2026,12
2026-12-13,Academy,1762.1231310529938,1300.814429828781,2223.4318322772065,2026,12
2026-12-20,Academy,1767.4751609143743,1303.6490310495083,2231.3012907792404,2026,12
2026-12-27,Academy,1793.3395207933497,1327.0095521384635,2259.669489448236,2026,12
2027-01-03,Academy,1793.5029016701085,1324.6824663370119,2262.323337003205,2027,1
2027-01-10,Academy,1860.6202813181924,1389.3225394329152,2331.9180232034696,2027,1
2027-01-17,Academy,1826.3672548698362,1352.6051601150866,2300.1293496245858,2027,1
2027-01-24,Academy,1812.6243406982721,1336.410645655117,2288.838035741427,2027,1
2027-01-31,Academy,1841.2587422765328,1362.606003574557,2319.9114809785087,2027,1
2027-02-07,Academy,1915.5139661954338,1434.4345494801178,2396.59338291075,2027,2
2027-02-14,Academy,1926.9743300334283,1443.4804147590005,2410.468245307856,2027,2
2027-02-21,Academy,1875.3421018266179,1389.4456858821877,2361.238517771048,2027,2
2027-02-28,Academy,1762.4002142864595,1274.1131184628143,2250.6873101101046,2027,2
2027-03-07,Academy,1892.6372583896073,1401.971130693659,2383.3033860855558,2027,3
2027-03-14,Academy,1814.2735717275925,1321.2398915510921,2307.307251904093,2027,3
2027-03-21,Academy,1911.9468116514854,1416.5568938002732,2407.3367295026974,2027,3
2027-03-28,Academy,1827.5669599645648,1329.8319585542981,2325.3019613748315,2027,3
2027-04-04,Academy,1895.4152575792089,1395.346169803203,2395.484345355215,2027,4
2027-04-11,Academy,1791.2460485113027,1288.8537182858302,2293.638378736775,2027,4
2027-04-18,Academy,1847.9332658273468,1343.2283873194642,2352.6381443352293,2027,4
2027-04-25,Academy,1799.280642544039,1292.2737635867265,2306.2875215013514,2027,4
2027-05-02,Academy,1816.3192994568158,1307.0208248558533,2325.617774057778,2027,5
2027-05-09,Academy,1872.7340818844502,1361.1542766206724,2384.313887148228,2027,5
2027-05-16,Academy,1936.3900937844235,1422.5390861123387,2450.241101456508,2027,5
2027-05-23,Academy,1944.1733133203932,1428.0610977530773,2460.285528887709,2027,5
2027-05-30,Academy,1983.119478953404,1464.755919075078,2501.48303883173,2027,5
2027-06-06,Academy,2029.960431438864,1509.3552622718187,2550.565600605909,2027,6
2027-06-13,Academy,1970.6155938555592,1447.7784225546193,2493.452765156499,2027,6
2027-06-20,Academy,2036.1359283800016,1511.076227792162,2561.195628967841,2027,6
2027-06-27,Academy,2013.385413891549,1486.1124847007748,2540.658343082323,2027,6
2027-07-04,Academy,2080.345677126474,1550.8684707268912,2609.822883526057,2027,7
2027-07-11,Academy,1938.5423936809298,1406.8687174008774,2470.216069960982,2027,7
2027-07-18,Academy,1881.689644612733,1347.8226425069129,2415.556646718553,2027,7
2027-07-25,Academy,2054.6110734104923,1518.534008850981,2590.6881379700035,2027,7
2027-08-01,Academy,2049.448042147184,1511.0653663523121,2587.830717942056,2027,8
2027-08-08,Academy,2026.0731330890421,1461.690096313951,2590.4561698641332,2027,8
2027-08-15,Academy,1968.3047295610593,1400.770300468694,2535.8391586534244,2027,8
2027-08-22,Academy,1832.2953103012117,1261.3293980349376,2403.2612225674857,2027,8
2027-08-29,Academy,1766.9304856913757,1192.9201576977434,2340.940813685008,2027,8
2027-09-05,Academy,1730.6483099436348,1153.6869289783233,2307.6096909089465,2027,9
2027-09-12,Academy,1928.1700768476287,1348.28921005505,2508.050943640207,2027,9
2027-09-19,Academy,1912.1235175942197,1329.3413460675777,2494.905689120862,2027,9
2027-09-26,Academy,1908.9505945972771,1323.2822556932838,2494.6189335012705,2027,9
2027-10-03,Academy,1997.6173516649758,1409.0771634755047,2586.157539854447,2027,10
2027-10-10,Academy,1889.35245062175,1297.9543942463229,2480.750506997177,2027,10
2027-10-17,Academy,1983.888637012024,1389.6464641803123,2578.1308098437357,2027,10
2027-10-24,Academy,1859.5686027537006,1262.49586272029,2456.641342787111,2027,10
2027-10-31,Academy,1877.8370897762468,1277.9471387154647,2477.7270408370287,2027,10
2027-11-07,Academy,2025.769369289156,1423.0753758033197,2628.463362774992,2027,11
2027-11-14,Academy,2068.23853641216,1462.753486089668,2673.723586734652,2027,11
2027-11-21,Academy,2078.437583173397,1470.1742828339814,2686.7008835128127,2027,11
2027-11-28,Academy,2043.315561617222,1432.2866433861627,2654.3444798482815,2027,11
2027-12-05,Academy,2002.7941087658592,1389.0120340119338,2616.5761835197845,2027,12
2027-12-12,Academy,2037.5037619747568,1420.9808251234153,2654.0266988260983,2027,12
2027-12-19,Academy,2043.3165022724652,1424.0648345004975,2662.568170044433,2027,12
2027-12-26,Academy,2070.613643222087,1448.645216038744,2692.58207040543,2027,12
2028-01-02,Academy,2070.7872622611544,1446.113890980227,2695.4606335420817,2028,1
2028-01-09,Academy,2129.9536204244255,1502.586967531528,2757.320273317323,2028,1
2028-01-16,Academy,2098.0659848929918,1468.0175633120828,2728.114406473901,2028,1
2028-01-23,Academy,2089.4776604901917,1456.7588367531764,2722.1964842272073,2028,1
2028-01-30,Academy,2115.269254702698,1479.89125202578,2750.6472573796163,2028,1
2028-02-06,Academy,2186.532581548892,1548.5064828191712,2824.5586802786124,2028,2
2028-02-13,Academy,2194.3245950364103,1553.661345712068,2834.9878443607527,2028,2
2028-02-20,Academy,2145.4726460024485,1502.1830569297024,2788.7622350751944,2028,2
2028-02-27,Academy,2044.879284064766,1398.9740342146501,2690.7845339148816,2028,2
2028-03-05,Academy,2171.245990465718,1522.7356295935897,2819.7563513378464,2028,3
2028-03-12,Academy,2092.358198515229,1441.253149745788,2743.46324728467,2028,3
2028-03-19,Academy,2183.681859244453,1529.9924215849371,2837.371296903969,2028,3
2028-03-26,Academy,2106.7352663060756,1450.4716170901736,2762.9989155219773,2028,3
2028-04-02,Academy,2171.2528451315884,1512.425042396509,2830.0806478666677,2028,4
2028-04-09,Academy,2079.4805810881144,1418.0985658871407,2740.8625962890883,2028,4
2028-04-16,Academy,2127.6258415879397,1463.6994402406922,2791.552242935187,2028,4
2028-04-23,Academy,2081.3762331171806,1414.915159399684,2747.8373068346773,2028,4
2028-04-30,Academy,2097.1013603379097,1428.1152176143164,2766.087503061503,2028,4
2028-05-07,Academy,2147.526353805949,1476.024637102998,2819.0280705089,2028,5
2028-05-14,Academy,2207.02496043396,1533.0170584561183,2881.032862411802,2028,5
2028-05-21,Academy,2213.8546297668863,1537.3498268364906,2890.359432697282,2028,5
2028-05-28,Academy,2256.93327137127,1577.9407492176424,2935.925793524898,2028,5
2028-06-04,Academy,2304.3909011008313,1622.919740154403,2985.8620620472598,2028,6
2028-06-11,Academy,2252.4815164033703,1568.540695059951,2936.4223377467897,2028,6
2028-06-18,Academy,2312.3946626409,1625.9930476671025,2998.796277614698,2028,6
2028-06-25,Academy,2285.5865969257907,1596.7328946402554,2974.440299211326,2028,6
2028-07-02,Academy,2351.2910823628804,1659.9936156125323,3042.5885491132285,2028,7
2028-07-09,Academy,2222.847640234567,1529.113351764679,2916.5819287044546,2028,7
2028-07-16,Academy,2163.121556804518,1466.9515902022692,2859.291523406767,2028,7
2028-07-23,Academy,2333.4061577786456,1634.7765742814606,3032.0357412758303,2028,7
2028-07-30,Academy,2327.919588331877,1626.703164249142,3029.136012414612,2028,7
2028-08-06,Academy,2303.3909226993956,1581.1468534951464,3025.6349919036447,2028,8
2028-08-13,Academy,2245.71908299833,1518.6722715855988,2972.7658944110617,2028,8
2028-08-20,Academy,2108.776182185714,1378.383047386454,2839.1693169849736,2028,8
2028-08-27,Academy,2045.322120818269,1311.9040641333872,2778.740177503151,2028,8
2028-09-03,Academy,2002.4945824647086,1266.129194703467,2738.8599702259503,2028,9
2028-09-10,Academy,2204.272796119106,1464.9858407820484,2943.559751456163,2028,9
2028-09-17,Academy,2188.6769560050648,1446.48295467033,2930.8709573397996,2028,9
2028-09-24,Academy,2186.822360411626,1441.7333071362089,2931.911413687043,2028,9
2028-10-01,Academy,2273.1086670657387,1525.1359079441136,3021.081426187364,2028,10
