Year,Total_Annual,Avg_Weekly,Peak_Week,Min_Week
2026,6765341.835273925,130102.72760142163,146772.06145857825,117771.79614583061
2027,8100604.750067594,155780.86057822296,172150.38011852323,142301.24282791707
2028,9665201.524242006,182362.29291022653,198525.36147672377,170333.0641063031
2029,10850124.016969126,208656.2310955601,224588.38653039437,195877.4968020941
2030,6856350.05356638,228545.00178554602,236313.33468412483,222200.4843204091
