Week_Date,Forecasted_Passengers,Lower_Bound_95,Upper_Bound_95,Year,Month
2027-07-04,155416.07243532088,135552.36998377845,175279.7748868633,2027,7
2027-07-11,155833.78602759322,134504.7922097989,177162.77984538753,2027,7
2027-07-18,156250.6661950179,133558.26135882107,178943.07103121473,2027,7
2027-07-25,156667.09158404852,132705.1066689478,180629.07649914926,2027,7
2027-08-01,157083.2688122662,131936.19251320593,182230.3451113265,2027,8
2027-08-08,157499.31062554344,131242.74247883784,183755.87877224904,2027,8
2027-08-15,157915.27854638823,130616.94244451971,185213.61464825677,2027,8
2027-08-22,158331.20614604247,130052.05007237627,186610.36221970868,2027,8
2027-08-29,158747.11174346477,129542.31832351284,187951.9051634167,2027,8
2027-09-05,159163.00533483666,129082.86216597923,189243.1485036941,2027,9
2027-09-12,159578.892374815,128669.52067142115,190488.2640782089,2027,9
2027-09-19,159994.7758398632,128298.73348397014,191690.81819575626,2027,9
2027-09-26,160410.65735415698,127967.43662122832,192853.87808708564,2027,9
2027-10-03,160826.5378039609,127672.97699584928,193980.09861207253,2027,10
2027-10-10,161242.4176728752,127413.04315367292,195071.79219207747,2027,10
2027-10-17,161658.29722476727,127185.60937348212,196130.98507605243,2027,10
2027-10-24,162074.1766035846,126988.89051304759,197159.46269412164,2027,10
2027-10-31,162490.05588780582,126821.30540311408,198158.80637249758,2027,10
2027-11-07,162905.93512012652,126681.44701585351,199130.42322439954,2027,11
2027-11-14,163321.81432361007,126568.05800610935,200075.5706411108,2027,11
2027-11-21,163737.69351041154,126480.01052804975,200995.37649277333,2027,11
2027-11-28,164153.5726863758,126416.28947057761,201890.85590217396,2027,11
2027-12-05,164799.31067078226,126912.02823075771,202686.5931108068,2027,12
2027-12-12,165565.16502666805,127617.05912950111,203513.270923835,2027,12
2027-12-19,166225.31000454808,128307.73170575948,204142.8883033367,2027,12
2027-12-26,166827.77208786158,129088.37173511737,204567.1724406058,2027,12
2028-01-02,167398.7580706257,129957.42991063552,204840.0862306159,2028,1
2028-01-09,167952.56829272848,130897.71609706752,205007.42048838944,2028,1
2028-01-16,168497.00602476127,131895.63884633698,205098.37320318556,2028,1
2028-01-23,169036.32920860115,132943.1323387664,205129.5260784359,2028,1
2028-01-30,169572.86110767425,134036.2522283698,205109.46998697871,2028,1
2028-02-06,170107.86912704253,135173.71108187872,205042.02717220635,2028,2
2028-02-13,170642.0442342967,136355.89234543178,204928.19612316164,2028,2
2028-02-20,171175.76233163805,137584.27654367496,204767.24811960114,2028,2
2028-02-27,171709.2264482794,138861.13811407535,204557.31478248345,2028,2
2028-03-05,172242.54354023834,140189.40326115652,204295.68381932017,2028,3
2028-03-12,172775.76494855457,141572.59531443455,203978.93458267458,2028,3
2028-03-19,173308.90582004792,143014.81340913844,203602.9982309574,2028,3
2028-03-26,173841.9508369009,144520.6885564112,203163.21311739064,2028,3
2028-04-02,174374.8484223931,146095.23112069038,202654.4657240958,2028,4
2028-04-09,174907.4912309918,147743.4053340956,202071.57712788804,2028,4
2028-04-16,175439.67554279347,149469.09262463456,201410.25846095238,2028,4
2028-04-23,175971.02420246287,151272.7322070352,200669.31619789053,2028,4
2028-04-30,176500.8439528094,153146.13194795762,199855.55595766118,2028,4
2028-05-07,177027.86319661955,155061.278199612,198994.44819362712,2028,5
2028-05-14,177549.75098999968,156946.73092614868,198152.77105385068,2028,5
2028-05-21,178062.23531700164,158640.3568055108,197484.1138284925,2028,5
2028-05-28,178557.48711556508,159807.6372650916,197307.33696603857,2028,5
2028-06-04,179011.424314701,159496.16424604884,198526.68438335316,2028,6
2028-06-11,179448.12905147788,158656.08556467894,200240.17253827682,2028,6
2028-06-18,179875.43047903143,157620.03862100758,202130.8223370553,2028,6
2028-06-25,180297.600763832,156548.90320266306,204046.2983250009,2028,6
2028-07-02,180716.97111668027,155513.4607502235,205920.48148313706,2028,7
2028-07-09,181134.81361904475,154541.42676322153,207728.20047486798,2028,7
2028-07-16,181551.8224128975,153640.87402803494,209462.77079776008,2028,7
2028-07-23,181968.3762735681,152811.32102586352,211125.4315212727,2028,7
2028-07-30,182384.68188896184,152048.87009903742,212720.49367888627,2028,7
2028-08-06,182800.85204332543,151348.54134830288,214253.16273834798,2028,8
2028-08-13,183216.94828010656,150705.29412324706,215728.60243696606,2028,8
2028-08-20,183633.0041819734,150114.4386985149,217151.56966543192,2028,8
2028-08-27,184049.03807411966,149571.76945157978,218526.30669665954,2028,8
2028-09-03,184465.05995612912,149073.57574360905,219856.54416864918,2028,9
2028-09-10,184881.07528451522,148616.60360397428,221145.54696505616,2028,9
2028-09-17,185297.08703675438,148198.00173266768,222396.1723408411,2028,9
2028-09-24,185713.0968375752,147815.26651242218,223610.9271627282,2028,9
2028-10-01,186129.1055735438,147466.1918694059,224792.0192776817,2028,10
2028-10-08,186545.11372842515,147148.8257621571,225941.4016946932,2028,10
2028-10-15,186961.12156617633,146861.43331209559,227060.80982025707,2028,10
2028-10-22,187377.12923079391,146602.46590287125,228151.79255871658,2028,10
2028-10-29,187793.1368007831,146370.53538305953,229215.73821850668,2028,10
2028-11-05,188209.14431885415,146164.39252574585,230253.89611196244,2028,11
2028-11-12,188625.15180807823,145982.9089968987,231267.39461925774,2028,11
2028-11-19,189041.15928061458,145825.06220210064,232257.2563591285,2028,11
2028-11-26,189457.16674230993,145689.92249287342,233224.41099174644,2028,11
2028-12-03,190103.05840067726,146138.37644135466,234067.74035999985,2028,12
2028-12-10,190869.08028424717,146809.5132552058,234928.64731328856,2028,12
2028-12-17,191529.34206659897,147528.57003386546,235530.11409933248,2028,12
2028-12-24,192131.89327603613,148358.39535080857,235905.3912012637,2028,12
2028-12-31,192702.95328156083,149283.23793000416,236122.6686331175,2028,12
2029-01-07,193256.82928490164,150280.47381657394,236233.18475322935,2029,1
2029-01-14,193801.32830097264,151334.11206090287,236268.5445410424,2029,1
2029-01-21,194340.71031481941,152434.8397086505,236246.58092098832,2029,1
2029-01-28,194877.29970475088,153577.93650262122,236176.66290688055,2029,1
2029-02-04,195412.36448415255,154761.53002487827,236063.19894342683,2029,2
2029-02-11,195946.59595248976,155985.47522329044,235907.71668168908,2029,2
2029-02-18,196480.37019292754,157250.7035733818,235710.0368124733,2029,2
2029-02-25,197013.89033318486,158558.8655838195,235468.9150825502,2029,2
2029-03-04,197547.26338258956,159912.14087416517,235182.38589101395,2029,3
2029-03-11,198080.54071046138,161313.13291254826,234847.9485083745,2029,3
2029-03-18,198613.73747756748,162764.7873280119,234462.68762712306,2029,3
2029-03-25,199146.83837098102,164270.27207184356,234023.40467011847,2029,3
2029-04-01,199679.79181166497,165832.7295322226,233526.85409110732,2029,4
2029-04-08,200212.49044368736,167454.73889190692,232970.2419954678,2029,4
2029-04-15,200744.7305247281,169137.1744830691,232352.2865663871,2029,4
2029-04-22,201276.1348565392,170876.83555212358,231675.4341609548,2029,4
2029-04-29,201806.01010228827,172661.60287079224,230950.4173337843,2029,4
2029-05-06,202333.0845182649,174460.67462085153,230205.49441567826,2029,5
2029-05-13,202855.0268918081,176205.27471147667,229504.77907213956,2029,5
2029-05-20,203367.56471426558,177752.17780330207,228982.9516252291,2029,5
2029-05-27,203862.86802056085,178821.65716931876,228904.07887180295,2029,5
2029-06-03,204316.8530847931,178607.8121717006,230025.8939978856,2029,6
2029-06-10,204753.60369897433,177913.79184595303,231593.41555199563,2029,6
2029-06-17,205180.94991930004,177017.9346379457,233343.96520065438,2029,6
2029-06-24,205603.16440501704,176062.71195254367,235143.61685749041,2029,6
2029-07-01,206022.5786358214,175116.52860593298,236928.62866570984,2029,7
2029-07-08,206440.46483991086,174210.0204279228,238670.9092518989,2029,7
2029-07-15,206857.51723932388,173355.23899923053,240359.79547941723,2029,7
2029-07-22,207274.11465308006,172555.35873433162,241992.8705718285,2029,7
2029-07-29,207690.46379292532,171809.49136599578,243571.43621985486,2029,7
2029-08-05,208106.67745611558,171115.04057663918,245098.31433559197,2029,8
2029-08-12,208522.81719319726,170468.8323995591,246576.80198683543,2029,8
2029-08-19,208938.91659071227,169867.63996114588,248010.19322027866,2029,8
2029-08-26,209354.99397596793,169308.41104014637,249401.57691178948,2029,8
