Year,Total_Passengers,Lower_Bound,Upper_Bound,Growth_vs_2019
2026,5427845.412890423,5182014.002306266,5676217.633673986,inf
2027,5696228.597734851,5366610.595807188,6041653.977399004,inf
2028,6070648.690685627,5556268.733803604,6617508.705976869,inf
2029,6233712.627569482,5482433.514215654,7015134.415630978,inf
2030,3570030.8129250943,3026289.5088126217,4139447.554938239,inf
