Year,Total_Passengers,Lower_Bound,Upper_Bound,Growth_vs_2019,Recovery_Status
2026,5183443.06715322,4856670.474733099,5522839.80106344,-20.51,20.5% Below 2019
2027,5342133.077163533,4778980.089331718,5955104.498708281,-18.07,18.1% Below 2019
2028,5589796.130421792,4673739.585835469,6589086.415337057,-14.28,14.3% Below 2019
2029,5361541.973798113,4140211.0940573523,6694394.484144143,-17.78,17.8% Below 2019
