Year,Projected_Passengers,Lower_Bound,Upper_Bound,Baseline_2019,Difference,Percent_Change
2025,2256956.8669946026,2176876.046836571,2336640.9705021144,0.0,2256956.8669946026,inf
2026,5436218.0026995335,4867975.950577679,5988185.4915730115,0.0,5436218.0026995335,inf
2027,5656619.863044212,4101235.53051719,7244831.235659192,0.0,5656619.863044212,inf
2028,5983019.094481457,2985438.39454558,9030777.227325069,0.0,5983019.094481457,inf
2029,6101731.040826815,1452277.5334269435,10608928.944509974,0.0,6101731.040826815,inf
2030,6322172.203264516,-305777.10963711113,12624989.560624955,0.0,6322172.203264516,inf
2031,3595290.4416697794,-1011172.3102374175,7995439.698651768,0.0,3595290.4416697794,inf
